as_of,location,target,target_end_date,observation
2025-10-15,clt-area,Flu ED visits pct,2009-01-10,0.21
2025-10-15,clt-area,Flu ED visits pct,2009-01-17,0.12
2025-10-15,clt-area,Flu ED visits pct,2009-01-24,0.08
2025-10-15,clt-area,Flu ED visits pct,2009-01-31,0.14
2025-10-15,clt-area,Flu ED visits pct,2009-02-07,0.42
2025-10-15,clt-area,Flu ED visits pct,2009-02-14,0.58
2025-10-15,clt-area,Flu ED visits pct,2009-02-21,0.87
2025-10-15,clt-area,Flu ED visits pct,2009-02-28,0.85
2025-10-15,clt-area,Flu ED visits pct,2009-03-07,1.1
2025-10-15,clt-area,Flu ED visits pct,2009-03-14,0.86
2025-10-15,clt-area,Flu ED visits pct,2009-03-21,0.7
2025-10-15,clt-area,Flu ED visits pct,2009-03-28,0.57
2025-10-15,clt-area,Flu ED visits pct,2009-04-04,0.43
2025-10-15,clt-area,Flu ED visits pct,2009-04-11,0.27
2025-10-15,clt-area,Flu ED visits pct,2009-04-18,0.14
2025-10-15,clt-area,Flu ED visits pct,2009-04-25,0.09
2025-10-15,clt-area,Flu ED visits pct,2009-05-02,0.21
2025-10-15,clt-area,Flu ED visits pct,2009-05-09,0.12
2025-10-15,clt-area,Flu ED visits pct,2009-05-16,0.1
2025-10-15,clt-area,Flu ED visits pct,2009-05-23,0.15
2025-10-15,clt-area,Flu ED visits pct,2009-05-30,0.05
2025-10-15,clt-area,Flu ED visits pct,2009-06-06,0.04
2025-10-15,clt-area,Flu ED visits pct,2009-06-13,0.04
2025-10-15,clt-area,Flu ED visits pct,2009-06-20,0.11
2025-10-15,clt-area,Flu ED visits pct,2009-06-27,0.11
2025-10-15,clt-area,Flu ED visits pct,2009-07-04,0.08
2025-10-15,clt-area,Flu ED visits pct,2009-07-11,0.08
2025-10-15,clt-area,Flu ED visits pct,2009-07-18,0.1
2025-10-15,clt-area,Flu ED visits pct,2009-07-25,0.12
2025-10-15,clt-area,Flu ED visits pct,2009-08-01,0.08
2025-10-15,clt-area,Flu ED visits pct,2009-08-08,0.15
2025-10-15,clt-area,Flu ED visits pct,2009-08-15,0.19
2025-10-15,clt-area,Flu ED visits pct,2009-08-22,0.16
2025-10-15,clt-area,Flu ED visits pct,2009-08-29,0.15
2025-10-15,clt-area,Flu ED visits pct,2009-09-05,0.46
2025-10-15,clt-area,Flu ED visits pct,2009-09-12,0.93
2025-10-15,clt-area,Flu ED visits pct,2009-09-19,1.37
2025-10-15,clt-area,Flu ED visits pct,2009-09-26,2.24
